source,lat1,lon1,dest,lat2,lon2
CTU,30.57850075,103.9469986,TAO,36.26610184,120.3740005
CTU,30.57850075,103.9469986,TNA,36.85720062,117.2160034
CTU,30.57850075,103.9469986,TSN,39.12440109,117.3460007
CTU,30.57850075,103.9469986,TYN,37.74689865,112.6279984
CTU,30.57850075,103.9469986,URC,43.90710068,87.47419739
CTU,30.57850075,103.9469986,WNZ,27.912201,120.851997
CTU,30.57850075,103.9469986,WUH,30.7838,114.208
CTU,30.57850075,103.9469986,WUX,31.49440002,120.4290009
CTU,30.57850075,103.9469986,WXN,30.8017,108.433
CTU,30.57850075,103.9469986,XIC,27.9890995,102.1839981
CTU,30.57850075,103.9469986,XIY,34.447102,108.751999
CTU,30.57850075,103.9469986,XMN,24.54400063,118.1279984
CTU,30.57850075,103.9469986,XNN,36.5275,102.042999
CTU,30.57850075,103.9469986,XUZ,34.059056,117.555278
CTU,30.57850075,103.9469986,YIH,30.55655,111.479988
CTU,30.57850075,103.9469986,YTY,32.5634,119.7198
CZX,31.919701,119.778999,CKG,29.71920013,106.6419983
CZX,31.919701,119.778999,HRB,45.62340164,126.25
CZX,31.919701,119.778999,XMN,24.54400063,118.1279984
CZX,31.919701,119.778999,ZUH,22.006399,113.375999
DAT,40.060299,113.482002,TYN,37.74689865,112.6279984
DCY,29.323056,100.053333,CTU,30.57850075,103.9469986
DLC,38.96569824,121.5390015,CKG,29.71920013,106.6419983
DLC,38.96569824,121.5390015,HGH,30.22949982,120.4339981
DLC,38.96569824,121.5390015,HRB,45.62340164,126.25
DLC,38.96569824,121.5390015,TNA,36.85720062,117.2160034
DLC,38.96569824,121.5390015,XUZ,34.059056,117.555278
DNH,40.16109848,94.80919647,LHW,36.51520157,103.6200027
DSN,39.49,109.8613889,CTU,30.57850075,103.9469986
DSN,39.49,109.8613889,SHE,41.63980103,123.4830017
DYG,29.1028,110.443001,CKG,29.71920013,106.6419983
DYG,29.1028,110.443001,NKG,31.74200058,118.8619995
FOC,25.93510056,119.663002,CSX,28.18919945,113.2200012
FOC,25.93510056,119.663002,XIY,34.447102,108.751999
GXH,34.8105,102.6447,LXA,29.29780006,90.91190338
GXH,34.8105,102.6447,XIY,34.447102,108.751999
HAK,19.93490028,110.4589996,CKG,29.71920013,106.6419983
HAK,19.93490028,110.4589996,CTU,30.57850075,103.9469986
HAK,19.93490028,110.4589996,HGH,30.22949982,120.4339981
HAK,19.93490028,110.4589996,NGB,29.82670021,121.461998
HAK,19.93490028,110.4589996,ZUH,22.006399,113.375999
HDG,36.52583333,114.4255556,CTU,30.57850075,103.9469986
HET,40.851398,111.823997,CTU,30.57850075,103.9469986
HFE,31.78000069,117.2979965,CTU,30.57850075,103.9469986
HGH,30.22949982,120.4339981,CGO,34.5196991,113.8410034
HGH,30.22949982,120.4339981,CKG,29.71920013,106.6419983
HGH,30.22949982,120.4339981,CTU,30.57850075,103.9469986
HGH,30.22949982,120.4339981,DLC,38.96569824,121.5390015
HGH,30.22949982,120.4339981,HAK,19.93490028,110.4589996
HGH,30.22949982,120.4339981,KWE,26.53849983,106.8010025
HGH,30.22949982,120.4339981,TSN,39.12440109,117.3460007
HGH,30.22949982,120.4339981,TYN,37.74689865,112.6279984
HRB,45.62340164,126.25,CGO,34.5196991,113.8410034
HRB,45.62340164,126.25,CZX,31.919701,119.778999
HRB,45.62340164,126.25,DLC,38.96569824,121.5390015
HRB,45.62340164,126.25,INC,38.481899,106.009003
HRB,45.62340164,126.25,NGB,29.82670021,121.461998
HRB,45.62340164,126.25,NKG,31.74200058,118.8619995
HRB,45.62340164,126.25,NZH,49.566667,117.33
HRB,45.62340164,126.25,SJW,38.28070068,114.6969986
HRB,45.62340164,126.25,TNA,36.85720062,117.2160034
HRB,45.62340164,126.25,TSN,39.12440109,117.3460007
HRB,45.62340164,126.25,WNZ,27.912201,120.851997
HRB,45.62340164,126.25,WUH,30.7838,114.208
HRB,45.62340164,126.25,XIY,34.447102,108.751999
HRB,45.62340164,126.25,XUZ,34.059056,117.555278
INC,38.481899,106.009003,CKG,29.71920013,106.6419983
